,fold,p.adj
CCDC13,-2.3203898423514,1.62085888539614e-10
CLEC4D,-2.09822978609786,0.000432702141591108
DNASE1L3,-3.63835185252185,6.33820811714576e-08
HIST1H2BH,4.13701950303897,7.5207145929596e-08
HS6ST2,2.12301835859504,7.60515356851406e-09
TNS4,4.78261421955752,3.33431909834399e-15
CERS3,5.8023046000656,6.83621286603911e-12
GINS2,3.37054450663739,4.5470403986279e-16
SH3BP5,-2.43020127734005,2.51946446929962e-29
PRELP,-2.76860902690765,2.47887239589057e-15
PARD3B,-2.10478185134733,8.61385864883572e-17
RAB17,-2.94600286442262,8.93757230161183e-27
UPK3B,-5.18311179779236,9.24885562501941e-12
NEK10,-2.22550849228477,8.88655120765838e-05
C10orf128,-2.89281301708381,6.27972128124247e-31
DEFB126,2.44728961139929,0.00011184506009658
PIH1D3,-3.39527745741888,7.19902485073214e-06
ADRB2,-3.51880180470719,1.25610826523284e-24
EFNA3,3.23560546981279,2.22384837780581e-15
RP11-503N18.3,-2.56016385041538,0.00228110125413088
UGT1A7,4.25072404003364,0.00207586206128561
SNX31,2.57784018365341,4.0908599568455e-06
OVOL1,3.18350541871155,6.68958929386075e-08
CSRNP1,-3.2624029965507,7.99052395974325e-16
CD160,-2.47954422573735,9.35600752928063e-13
PTH1R,-2.95120519274507,3.26836076171824e-11
MT1A,-3.79202501506578,0.0030780366996806
TBC1D10C,-2.27999773409289,2.9540935592713e-13
SLC4A11,2.05781882435254,4.42523296241324e-09
CPB2,-6.62142091466703,1.32800963348655e-16
SULT1A1,-2.8096011097603,1.94672337575584e-28
SEC14L6,-4.57576354522115,3.6311879535654e-27
RP11-293I14.2,2.0014647874786,8.9605399266971e-05
VIP,-2.56517821339853,3.28203362684302e-15
CDC25C,3.78356705078664,3.70069300571107e-11
RP11-664D7.4,-4.61575776399224,1.12326967264589e-20
AQP5,-3.27567122928293,0.000168359668302854
HBB,-5.34339622997891,1.38490761775958e-07
GSTM5,-3.40885054275763,2.6108880214202e-28
LONRF3,-3.28271143011776,7.89740336660185e-25
SLC6A8,3.77499330014174,1.1110994032938e-15
RXRG,-4.15702863472344,1.09137557244958e-18
C1orf74,2.05404037817244,1.20485656067007e-11
FBLN5,-3.23820068906533,2.90366436492118e-25
LRCH2,-2.17211156507692,1.39175132018307e-28
SLC39A2,3.20714096952162,3.40957121083572e-08
KCNK17,-2.83352081143656,6.20037643534851e-15
CST1,5.27470034397603,0.0446082979947926
PRSS3,2.89691116970897,0.00667657163671162
HP,-3.32439510557597,0.0130997369628814
C16orf89,-5.59080575936639,3.63193219303972e-33
HLA-DMA,-2.4096014863605,1.7223093677308e-29
CD34,-2.64360021867472,1.25863273158576e-15
CDH5,-3.57360977265422,3.27661913496995e-29
STEAP4,-4.20478262527191,3.74849984381616e-16
PMAIP1,2.07820242838238,3.87915377213387e-08
MARCH10,-2.22360402551935,0.000225516378663555
ZNF556,2.16265868900703,2.87565094453121e-05
SLC5A4,-3.08230130112613,8.42278533179357e-23
FHL5,-4.4808279772429,8.37391235784843e-26
ANKRD22,2.09558173077329,2.40755013348311e-10
MUSK,-3.05292588881669,6.38368739330453e-20
DPT,-2.15418937355494,1.23111975357915e-09
FAM83B,5.74021993724564,2.5466454014206e-15
HMGCLL1,-3.37364737078352,5.23688431351552e-24
PAPL,3.13668472624857,0.000457346920350051
DDC,-2.62408442596254,0.000995172053627595
RNASE1,-3.20540051671957,8.5780038175852e-36
OMG,-4.39145947856049,2.76345181547032e-09
SHC3,-2.18752087552241,2.10502699519411e-20
ADTRP,-2.10821577172288,3.23849107279241e-12
NLRP3,-2.03955508999567,8.61932999493695e-08
LY6K,3.84855073750759,3.23765842897124e-08
KCNA3,-3.40890702167342,3.93188877392428e-20
KPNA2,2.36179950893793,9.50020974887777e-27
COL6A5,-3.01981030463734,1.64925165819676e-15
OR2W3,-2.55167604074834,6.80216071798494e-05
HECW1,2.16644390649012,2.96027021482065e-06
MYH2,-2.22336173963654,7.85746810847e-05
FBP1,-3.97180044174208,2.86389570298895e-26
HSPB2-C11orf52,-2.64366480804938,6.79623755854465e-12
NKAIN1,3.08673514691661,9.22526836356156e-05
CCNJL,-2.08399773906633,7.83563875366053e-15
HSPB8,-2.4544060820722,6.00681845370918e-20
PTPRC,-2.23460279167651,7.63846098237565e-18
CD244,-2.28472644664907,1.28317544084743e-11
IL18RAP,-2.11587290435081,9.19227083424586e-08
NRG3,-2.44607547600536,4.8073379646422e-09
SERPINB5,6.58983409375948,8.03809172616819e-13
C9orf171,-3.61536437237389,1.63139237809656e-05
